,Rank,HBR_CEO,HBR_Company,HBR_Industry,HBR_Country,HBR_YearStarted,HBR_Insider,HBR_MBA,HBR_finrank,HBR_sustainalytics,HBR_csrhub
85,86,>Paul Desmarais Jr.<,">
Power Corporation of Canada<",> Financial Services | <,> Canada | <,> 1996 | <,> YES | <,> YES | <,> 116 | <,> 276 | <,> 574<
86,87,>Alfred Kelly Jr.<,">
Visa<",> Information Technology | <,> United States | <,> 2016 | <,> NO | <,> YES | <,> 186 | <,> 291 | <,> 246<
87,88,>Sheng Yue Gui<,">
Geely Automobile<",> Automobile | <,> China<,> 2006 | <,> YES | <,> YES | <,> 56 | <,> 686 | <,> 464<
88,89,>Piyush Gupta<,">
DBS Bank<",> Financial Services | <,> Singapore | <,> 2009 | <,> NO | <,> YES | <,> 152 | <,> 290 | <,> 414<
89,90,>Colin Goldschmidt<,">
Sonic Healthcare<",> Health Care | <,> Australia | <,> 1993 | <,> YES | <,> NO | <,> 100 | <,> 521 | <,> 427<
90,91,>Marc Grynberg<,">
Umicore<",> Materials | <,> Belgium | <,> 2008 | <,> YES | <,> NO | <,> 215 | <,> 265 | <,> 151<
91,92,>Jussi Pesonen<,">
UPM<",> Materials | <,> Finland | <,> 2004 | <,> YES | <,> NO | <,> 253 | <,> 107 | <,> 133<
92,93,>Leonard Schleifer<,">
Regeneron Pharmaceuticals<",> Health Care | <,> United States | <,> 1988 | <,> YES | <,> NO | <,> 19 | <,> 682 | <,> 654<
93,94,>Jens Bjørn Andersen<,">
DSV<",> Transportation | <,> Denmark | <,> 2008 | <,> YES | <,> NO | <,> 173 | <,> 230 | <,> 389<
94,95,>Björn Rosengren<,">
Sandvik<",> Industrials | <,> Sweden | <,> 2015 | <,> NO | <,> NO | <,> 270 | <,> 143 | <,> 38<
95,96,>Masayoshi Son<,">
SoftBank<",> Communication | <,> Japan | <,> 1981 | <,> YES | <,> NO | <,> 10 | <,> 703 | <,> 699<
96,97,>Daniel Hajj Aboumrad<,">
América Móvil<",> Communication | <,> Mexico | <,> 2000 | <,> YES | <,> NO | <,> 49 | <,> 508 | <,> 732<
97,98,>Gary Dickerson<,">
Applied Materials<",> Information Technology | <,> United States | <,> 2013 | <,> YES | <,> YES | <,> 207 | <,> 347 | <,> 167<
98,99,>Brian Roberts<,">
Comcast<",> Communication | <,> United States | <,> 2002 | <,> YES | <,> NO | <,> 68 | <,> 604 | <,> 570<
99,100,>Bruce Flatt<,">
Brookfield Asset Management<",> Financial Services | <,> Canada | <,> 2002 | <,> YES | <,> NO | <,> 25 | <,> 855 | <,> 525<
