,Company,Market Value (M),rank_change1000,employees,CEO,Sector,HQ Location,Employees,Revenues ($M),Revenues ($M)Growth,Profits ($M),Profits ($M)Growth,Assets ($M),Assets ($M)Growth,Total Stockholder Equity ($M),Total Stockholder Equity ($M)Growth,Profit as % of Revenues,Profits as % of Assets,Profits as % of Stockholder Equity,Earnings Per Share ($),"Total Return to Investors (5 year, annualized)","Total Return to Investors (10 year, annualized)",Market Cap (M),No_Directors,Median_age,Board_Independance,Median_Tenure,Median_pay,women_on_board,GD_Approval,HBR Ranked,GD Ranked,GD & HBR Ranked,MarketSize: < 250 million,"MarketSize: 250 ~ 1,000 million","MarketSize: 1,001 ~ 5,000 million","MarketSize: 5,001 ~ 50,000 million",MarketSize: 50 Billion +,Aerospace & Defense,Apparel,Business Services,Chemicals,Energy,Engineering & Construction,Financials,Food & Drug Stores,"Food, Beverages & Tobacco",Health Care,"Hotels, Restaurants & Leisure",Household Products,Industrials,Materials,Media,Motor Vehicles & Parts,Retailing,Technology,Telecommunications,Transportation,Wholesalers,State,Region,Division,Midwest,Northeast,South,West,East North Central,East South Central,Middle Atlantic,Mountain,New England,Pacific,South Atlantic,West North Central,West South Central
1105,dentsplyinternational,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8507.0,10.0,68.0,0.8,12.5,193500.0,0.1,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1106,aglresources,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7517.0,15.0,66.0,0.93,11.0,190028.0,0.2,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1107,airgas,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7178.0,11.0,66.0,0.82,9.0,186247.0,0.18,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1108,cablevisionsystems,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9019.0,18.0,65.5,0.39,10.0,185307.0,0.17,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1109,generalgrowthproperties,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25639.0,9.0,54.0,0.89,5.0,175007.0,0.11,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1110,m&tbank,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15977.0,14.0,72.0,0.64,15.5,171000.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1111,apartmentinvestmentandmanagement,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6124.0,7.0,69.0,0.86,11.0,170940.0,0.14,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1112,diamondoffshoredrilling,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2726.0,11.0,66.0,0.45,8.0,170487.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1113,pepcoholdings,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6753.0,9.0,64.0,0.89,8.0,167000.0,0.22,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1114,garmin,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6751.0,6.0,66.5,0.67,11.0,166500.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
